Symbol,name,sector,yahoo_symbol
COALINDIA,Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA.NS
COCHINSHIP,Cochin Shipyard Ltd.,Capital Goods,COCHINSHIP.NS
COFORGE,Coforge Ltd.,Information Technology,COFORGE.NS
COHANCE,Cohance Lifesciences Ltd.,Healthcare,COHANCE.NS
COLPAL,Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL.NS
CAMS,Computer Age Management Services Ltd.,Financial Services,CAMS.NS
CONCORDBIO,Concord Biotech Ltd.,Healthcare,CONCORDBIO.NS
CONCOR,Container Corporation of India Ltd.,Services,CONCOR.NS
COROMANDEL,Coromandel International Ltd.,Chemicals,COROMANDEL.NS
CRAFTSMAN,Craftsman Automation Ltd.,Automobile and Auto Components,CRAFTSMAN.NS
CREDITACC,CreditAccess Grameen Ltd.,Financial Services,CREDITACC.NS
CROMPTON,Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,CROMPTON.NS
CUMMINSIND,Cummins India Ltd.,Capital Goods,CUMMINSIND.NS
CYIENT,Cyient Ltd.,Information Technology,CYIENT.NS
DCMSHRIRAM,DCM Shriram Ltd.,Diversified,DCMSHRIRAM.NS
DLF,DLF Ltd.,Realty,DLF.NS
DOMS,DOMS Industries Ltd.,Fast Moving Consumer Goods,DOMS.NS
DABUR,Dabur India Ltd.,Fast Moving Consumer Goods,DABUR.NS
DALBHARAT,Dalmia Bharat Ltd.,Construction Materials,DALBHARAT.NS
DATAPATTNS,Data Patterns (India) Ltd.,Capital Goods,DATAPATTNS.NS
DEEPAKFERT,Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals,DEEPAKFERT.NS
DEEPAKNTR,Deepak Nitrite Ltd.,Chemicals,DEEPAKNTR.NS
DELHIVERY,Delhivery Ltd.,Services,DELHIVERY.NS
DEVYANI,Devyani International Ltd.,Consumer Services,DEVYANI.NS
DIVISLAB,Divi's Laboratories Ltd.,Healthcare,DIVISLAB.NS
DIXON,Dixon Technologies (India) Ltd.,Consumer Durables,DIXON.NS
AGARWALEYE,Dr. Agarwal's Health Care Ltd.,Healthcare,AGARWALEYE.NS
LALPATHLAB,Dr. Lal Path Labs Ltd.,Healthcare,LALPATHLAB.NS
DRREDDY,Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY.NS
DUMMYHDLVR,Dummy Hindustan Unilever Ltd.,Fast Moving Consumer Goods,DUMMYHDLVR.NS
EIDPARRY,E.I.D. Parry (India) Ltd.,Fast Moving Consumer Goods,EIDPARRY.NS
EIHOTEL,EIH Ltd.,Consumer Services,EIHOTEL.NS
EICHERMOT,Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT.NS
ELECON,Elecon Engineering Co. Ltd.,Capital Goods,ELECON.NS
ELGIEQUIP,Elgi Equipments Ltd.,Capital Goods,ELGIEQUIP.NS
EMAMILTD,Emami Ltd.,Fast Moving Consumer Goods,EMAMILTD.NS
EMCURE,Emcure Pharmaceuticals Ltd.,Healthcare,EMCURE.NS
ENDURANCE,Endurance Technologies Ltd.,Automobile and Auto Components,ENDURANCE.NS
ENGINERSIN,Engineers India Ltd.,Construction,ENGINERSIN.NS
ERIS,Eris Lifesciences Ltd.,Healthcare,ERIS.NS
ESCORTS,Escorts Kubota Ltd.,Capital Goods,ESCORTS.NS
ETERNAL,Eternal Ltd.,Consumer Services,ETERNAL.NS
EXIDEIND,Exide Industries Ltd.,Automobile and Auto Components,EXIDEIND.NS
NYKAA,FSN E-Commerce Ventures Ltd.,Consumer Services,NYKAA.NS
FEDERALBNK,Federal Bank Ltd.,Financial Services,FEDERALBNK.NS
FACT,Fertilisers and Chemicals Travancore Ltd.,Chemicals,FACT.NS
FINCABLES,Finolex Cables Ltd.,Capital Goods,FINCABLES.NS
FINPIPE,Finolex Industries Ltd.,Capital Goods,FINPIPE.NS
FSL,Firstsource Solutions Ltd.,Services,FSL.NS
FIVESTAR,Five-Star Business Finance Ltd.,Financial Services,FIVESTAR.NS
FORCEMOT,Force Motors Ltd.,Automobile and Auto Components,FORCEMOT.NS
FORTIS,Fortis Healthcare Ltd.,Healthcare,FORTIS.NS
GAIL,GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL.NS
GVT&D,GE Vernova T&D India Ltd.,Capital Goods,GVT&D.NS
GMRAIRPORT,GMR Airports Ltd.,Services,GMRAIRPORT.NS
GRSE,Garden Reach Shipbuilders & Engineers Ltd.,Capital Goods,GRSE.NS
GICRE,General Insurance Corporation of India,Financial Services,GICRE.NS
GILLETTE,Gillette India Ltd.,Fast Moving Consumer Goods,GILLETTE.NS
GLAND,Gland Pharma Ltd.,Healthcare,GLAND.NS
GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,GLAXO.NS
GLENMARK,Glenmark Pharmaceuticals Ltd.,Healthcare,GLENMARK.NS
MEDANTA,Global Health Ltd.,Healthcare,MEDANTA.NS
GODIGIT,Go Digit General Insurance Ltd.,Financial Services,GODIGIT.NS
GPIL,Godawari Power & Ispat Ltd.,Capital Goods,GPIL.NS
GODFRYPHLP,Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,GODFRYPHLP.NS
GODREJAGRO,Godrej Agrovet Ltd.,Fast Moving Consumer Goods,GODREJAGRO.NS
GODREJCP,Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP.NS
GODREJIND,Godrej Industries Ltd.,Diversified,GODREJIND.NS
GODREJPROP,Godrej Properties Ltd.,Realty,GODREJPROP.NS
GRANULES,Granules India Ltd.,Healthcare,GRANULES.NS
GRAPHITE,Graphite India Ltd.,Capital Goods,GRAPHITE.NS
GRASIM,Grasim Industries Ltd.,Construction Materials,GRASIM.NS
GRAVITA,Gravita India Ltd.,Metals & Mining,GRAVITA.NS
GESHIP,Great Eastern Shipping Co. Ltd.,Services,GESHIP.NS
FLUOROCHEM,Gujarat Fluorochemicals Ltd.,Chemicals,FLUOROCHEM.NS
GUJGASLTD,Gujarat Gas Ltd.,Oil Gas & Consumable Fuels,GUJGASLTD.NS
GMDCLTD,Gujarat Mineral Development Corporation Ltd.,Metals & Mining,GMDCLTD.NS
GSPL,Gujarat State Petronet Ltd.,Oil Gas & Consumable Fuels,GSPL.NS
HEG,H.E.G. Ltd.,Capital Goods,HEG.NS
HBLENGINE,HBL Engineering Ltd.,Capital Goods,HBLENGINE.NS
HCLTECH,HCL Technologies Ltd.,Information Technology,HCLTECH.NS
HDFCAMC,HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC.NS
HDFCBANK,HDFC Bank Ltd.,Financial Services,HDFCBANK.NS
HDFCLIFE,HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE.NS
HFCL,HFCL Ltd.,Telecommunication,HFCL.NS
HAPPSTMNDS,Happiest Minds Technologies Ltd.,Information Technology,HAPPSTMNDS.NS
HAVELLS,Havells India Ltd.,Consumer Durables,HAVELLS.NS
HEROMOTOCO,Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO.NS
HEXT,Hexaware Technologies Ltd.,Information Technology,HEXT.NS
HSCL,Himadri Speciality Chemical Ltd.,Chemicals,HSCL.NS
HINDALCO,Hindalco Industries Ltd.,Metals & Mining,HINDALCO.NS
HAL,Hindustan Aeronautics Ltd.,Capital Goods,HAL.NS
HINDCOPPER,Hindustan Copper Ltd.,Metals & Mining,HINDCOPPER.NS
HINDPETRO,Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HINDPETRO.NS
HINDUNILVR,Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR.NS
HINDZINC,Hindustan Zinc Ltd.,Metals & Mining,HINDZINC.NS
POWERINDIA,Hitachi Energy India Ltd.,Capital Goods,POWERINDIA.NS
HOMEFIRST,Home First Finance Company India Ltd.,Financial Services,HOMEFIRST.NS
HONASA,Honasa Consumer Ltd.,Fast Moving Consumer Goods,HONASA.NS
HONAUT,Honeywell Automation India Ltd.,Capital Goods,HONAUT.NS
HUDCO,Housing & Urban Development Corporation Ltd.,Financial Services,HUDCO.NS
HYUNDAI,Hyundai Motor India Ltd.,Automobile and Auto Components,HYUNDAI.NS
ICICIBANK,ICICI Bank Ltd.,Financial Services,ICICIBANK.NS
ICICIGI,ICICI Lombard General Insurance Company Ltd.,Financial Services,ICICIGI.NS
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,Financial Services,ICICIPRULI.NS
IDBI,IDBI Bank Ltd.,Financial Services,IDBI.NS
IDFCFIRSTB,IDFC First Bank Ltd.,Financial Services,IDFCFIRSTB.NS
IFCI,IFCI Ltd.,Financial Services,IFCI.NS
IIFL,IIFL Finance Ltd.,Financial Services,IIFL.NS
INOXINDIA,INOX India Ltd.,Capital Goods,INOXINDIA.NS
IRB,IRB Infrastructure Developers Ltd.,Construction,IRB.NS
IRCON,IRCON International Ltd.,Construction,IRCON.NS
ITCHOTELS,ITC Hotels Ltd.,Consumer Services,ITCHOTELS.NS
ITC,ITC Ltd.,Fast Moving Consumer Goods,ITC.NS
ITI,ITI Ltd.,Telecommunication,ITI.NS
INDGN,Indegene Ltd.,Healthcare,INDGN.NS
INDIACEM,India Cements Ltd.,Construction Materials,INDIACEM.NS
INDIAMART,Indiamart Intermesh Ltd.,Consumer Services,INDIAMART.NS
INDIANB,Indian Bank,Financial Services,INDIANB.NS
IEX,Indian Energy Exchange Ltd.,Financial Services,IEX.NS
INDHOTEL,Indian Hotels Co. Ltd.,Consumer Services,INDHOTEL.NS
IOC,Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,IOC.NS
IOB,Indian Overseas Bank,Financial Services,IOB.NS
IRCTC,Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,IRCTC.NS
IRFC,Indian Railway Finance Corporation Ltd.,Financial Services,IRFC.NS
IREDA,Indian Renewable Energy Development Agency Ltd.,Financial Services,IREDA.NS
IGL,Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,IGL.NS
INDUSTOWER,Indus Towers Ltd.,Telecommunication,INDUSTOWER.NS
INDUSINDBK,IndusInd Bank Ltd.,Financial Services,INDUSINDBK.NS
NAUKRI,Info Edge (India) Ltd.,Consumer Services,NAUKRI.NS
INFY,Infosys Ltd.,Information Technology,INFY.NS
INOXWIND,Inox Wind Ltd.,Capital Goods,INOXWIND.NS
INTELLECT,Intellect Design Arena Ltd.,Information Technology,INTELLECT.NS
INDIGO,InterGlobe Aviation Ltd.,Services,INDIGO.NS
IGIL,International Gemmological Institute (India) Ltd.,Services,IGIL.NS
IKS,Inventurus Knowledge Solutions Ltd.,Information Technology,IKS.NS
IPCALAB,Ipca Laboratories Ltd.,Healthcare,IPCALAB.NS
JBCHEPHARM,J.B. Chemicals & Pharmaceuticals Ltd.,Healthcare,JBCHEPHARM.NS
JKCEMENT,J.K. Cement Ltd.,Construction Materials,JKCEMENT.NS
JBMA,JBM Auto Ltd.,Automobile and Auto Components,JBMA.NS
JKTYRE,JK Tyre & Industries Ltd.,Automobile and Auto Components,JKTYRE.NS
JMFINANCIL,JM Financial Ltd.,Financial Services,JMFINANCIL.NS
JSWENERGY,JSW Energy Ltd.,Power,JSWENERGY.NS
JSWINFRA,JSW Infrastructure Ltd.,Services,JSWINFRA.NS
JSWSTEEL,JSW Steel Ltd.,Metals & Mining,JSWSTEEL.NS
JPPOWER,Jaiprakash Power Ventures Ltd.,Power,JPPOWER.NS
J&KBANK,Jammu & Kashmir Bank Ltd.,Financial Services,J&KBANK.NS
JINDALSAW,Jindal Saw Ltd.,Capital Goods,JINDALSAW.NS
JSL,Jindal Stainless Ltd.,Metals & Mining,JSL.NS
JINDALSTEL,Jindal Steel Ltd.,Metals & Mining,JINDALSTEL.NS
JIOFIN,Jio Financial Services Ltd.,Financial Services,JIOFIN.NS
JUBLFOOD,Jubilant Foodworks Ltd.,Consumer Services,JUBLFOOD.NS
JUBLINGREA,Jubilant Ingrevia Ltd.,Chemicals,JUBLINGREA.NS
JUBLPHARMA,Jubilant Pharmova Ltd.,Healthcare,JUBLPHARMA.NS
JWL,Jupiter Wagons Ltd.,Capital Goods,JWL.NS
JYOTHYLAB,Jyothy Labs Ltd.,Fast Moving Consumer Goods,JYOTHYLAB.NS
JYOTICNC,Jyoti CNC Automation Ltd.,Capital Goods,JYOTICNC.NS
KPRMILL,K.P.R. Mill Ltd.,Textiles,KPRMILL.NS
KEI,KEI Industries Ltd.,Capital Goods,KEI.NS
KPITTECH,KPIT Technologies Ltd.,Information Technology,KPITTECH.NS
KSB,KSB Ltd.,Capital Goods,KSB.NS
KAJARIACER,Kajaria Ceramics Ltd.,Consumer Durables,KAJARIACER.NS
KPIL,Kalpataru Projects International Ltd.,Construction,KPIL.NS
KALYANKJIL,Kalyan Jewellers India Ltd.,Consumer Durables,KALYANKJIL.NS
KARURVYSYA,Karur Vysya Bank Ltd.,Financial Services,KARURVYSYA.NS
KAYNES,Kaynes Technology India Ltd.,Capital Goods,KAYNES.NS
KEC,Kec International Ltd.,Construction,KEC.NS
KFINTECH,Kfin Technologies Ltd.,Financial Services,KFINTECH.NS
KIRLOSBROS,Kirloskar Brothers Ltd.,Capital Goods,KIRLOSBROS.NS
KIRLOSENG,Kirloskar Oil Eng Ltd.,Capital Goods,KIRLOSENG.NS
KOTAKBANK,Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK.NS
KIMS,Krishna Institute of Medical Sciences Ltd.,Healthcare,KIMS.NS
LTF,L&T Finance Ltd.,Financial Services,LTF.NS
LTTS,L&T Technology Services Ltd.,Information Technology,LTTS.NS
LICHSGFIN,LIC Housing Finance Ltd.,Financial Services,LICHSGFIN.NS
LTFOODS,LT Foods Ltd.,Fast Moving Consumer Goods,LTFOODS.NS
LTIM,LTIMindtree Ltd.,Information Technology,LTIM.NS
LT,Larsen & Toubro Ltd.,Construction,LT.NS
LATENTVIEW,Latent View Analytics Ltd.,Information Technology,LATENTVIEW.NS
LAURUSLABS,Laurus Labs Ltd.,Healthcare,LAURUSLABS.NS
THELEELA,Leela Palaces Hotels & Resorts Ltd.,Consumer Services,THELEELA.NS
LEMONTREE,Lemon Tree Hotels Ltd.,Consumer Services,LEMONTREE.NS
LICI,Life Insurance Corporation of India,Financial Services,LICI.NS
LINDEINDIA,Linde India Ltd.,Chemicals,LINDEINDIA.NS
LLOYDSME,Lloyds Metals And Energy Ltd.,Metals & Mining,LLOYDSME.NS
LODHA,Lodha Developers Ltd.,Realty,LODHA.NS
LUPIN,Lupin Ltd.,Healthcare,LUPIN.NS
MMTC,MMTC Ltd.,Services,MMTC.NS
MRF,MRF Ltd.,Automobile and Auto Components,MRF.NS
MGL,Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,MGL.NS
MAHSCOOTER,Maharashtra Scooters Ltd.,Financial Services,MAHSCOOTER.NS
MAHSEAMLES,Maharashtra Seamless Ltd.,Capital Goods,MAHSEAMLES.NS
M&MFIN,Mahindra & Mahindra Financial Services Ltd.,Financial Services,M&MFIN.NS
M&M,Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M.NS
MANAPPURAM,Manappuram Finance Ltd.,Financial Services,MANAPPURAM.NS
MRPL,Mangalore Refinery & Petrochemicals Ltd.,Oil Gas & Consumable Fuels,MRPL.NS
MANKIND,Mankind Pharma Ltd.,Healthcare,MANKIND.NS
MARICO,Marico Ltd.,Fast Moving Consumer Goods,MARICO.NS
MARUTI,Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI.NS
MFSL,Max Financial Services Ltd.,Financial Services,MFSL.NS
MAXHEALTH,Max Healthcare Institute Ltd.,Healthcare,MAXHEALTH.NS
MAZDOCK,Mazagoan Dock Shipbuilders Ltd.,Capital Goods,MAZDOCK.NS
METROPOLIS,Metropolis Healthcare Ltd.,Healthcare,METROPOLIS.NS
MINDACORP,Minda Corporation Ltd.,Automobile and Auto Components,MINDACORP.NS
MSUMI,Motherson Sumi Wiring India Ltd.,Automobile and Auto Components,MSUMI.NS
MOTILALOFS,Motilal Oswal Financial Services Ltd.,Financial Services,MOTILALOFS.NS
MPHASIS,MphasiS Ltd.,Information Technology,MPHASIS.NS
MCX,Multi Commodity Exchange of India Ltd.,Financial Services,MCX.NS
MUTHOOTFIN,Muthoot Finance Ltd.,Financial Services,MUTHOOTFIN.NS
NATCOPHARM,NATCO Pharma Ltd.,Healthcare,NATCOPHARM.NS
NBCC,NBCC (India) Ltd.,Construction,NBCC.NS
NCC,NCC Ltd.,Construction,NCC.NS
NHPC,NHPC Ltd.,Power,NHPC.NS
NLCINDIA,NLC India Ltd.,Power,NLCINDIA.NS
NMDC,NMDC Ltd.,Metals & Mining,NMDC.NS
NSLNISP,NMDC Steel Ltd.,Metals & Mining,NSLNISP.NS
NTPCGREEN,NTPC Green Energy Ltd.,Power,NTPCGREEN.NS
NTPC,NTPC Ltd.,Power,NTPC.NS
NH,Narayana Hrudayalaya Ltd.,Healthcare,NH.NS
NATIONALUM,National Aluminium Co. Ltd.,Metals & Mining,NATIONALUM.NS
NAVA,Nava Ltd.,Power,NAVA.NS
NAVINFLUOR,Navin Fluorine International Ltd.,Chemicals,NAVINFLUOR.NS
NESTLEIND,Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND.NS
NETWEB,Netweb Technologies India Ltd.,Information Technology,NETWEB.NS
NEULANDLAB,Neuland Laboratories Ltd.,Healthcare,NEULANDLAB.NS
NEWGEN,Newgen Software Technologies Ltd.,Information Technology,NEWGEN.NS
NAM-INDIA,Nippon Life India Asset Management Ltd.,Financial Services,NAM-INDIA.NS
NIVABUPA,Niva Bupa Health Insurance Company Ltd.,Financial Services,NIVABUPA.NS
NUVAMA,Nuvama Wealth Management Ltd.,Financial Services,NUVAMA.NS
NUVOCO,Nuvoco Vistas Corporation Ltd.,Construction Materials,NUVOCO.NS
OBEROIRLTY,Oberoi Realty Ltd.,Realty,OBEROIRLTY.NS
ONGC,Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC.NS
OIL,Oil India Ltd.,Oil Gas & Consumable Fuels,OIL.NS
OLAELEC,Ola Electric Mobility Ltd.,Automobile and Auto Components,OLAELEC.NS
OLECTRA,Olectra Greentech Ltd.,Automobile and Auto Components,OLECTRA.NS
PAYTM,One 97 Communications Ltd.,Financial Services,PAYTM.NS
ONESOURCE,Onesource Specialty Pharma Ltd.,Healthcare,ONESOURCE.NS
OFSS,Oracle Financial Services Software Ltd.,Information Technology,OFSS.NS
POLICYBZR,PB Fintech Ltd.,Financial Services,POLICYBZR.NS
PCBL,PCBL Chemical Ltd.,Chemicals,PCBL.NS
PGEL,PG Electroplast Ltd.,Consumer Durables,PGEL.NS
PIIND,PI Industries Ltd.,Chemicals,PIIND.NS
PNBHOUSING,PNB Housing Finance Ltd.,Financial Services,PNBHOUSING.NS
PTCIL,PTC Industries Ltd.,Capital Goods,PTCIL.NS
PVRINOX,PVR INOX Ltd.,Media Entertainment & Publication,PVRINOX.NS
PAGEIND,Page Industries Ltd.,Textiles,PAGEIND.NS
PATANJALI,Patanjali Foods Ltd.,Fast Moving Consumer Goods,PATANJALI.NS
PERSISTENT,Persistent Systems Ltd.,Information Technology,PERSISTENT.NS
PETRONET,Petronet LNG Ltd.,Oil Gas & Consumable Fuels,PETRONET.NS
PFIZER,Pfizer Ltd.,Healthcare,PFIZER.NS
PHOENIXLTD,Phoenix Mills Ltd.,Realty,PHOENIXLTD.NS
PIDILITIND,Pidilite Industries Ltd.,Chemicals,PIDILITIND.NS
PPLPHARMA,Piramal Pharma Ltd.,Healthcare,PPLPHARMA.NS
POLYMED,Poly Medicure Ltd.,Healthcare,POLYMED.NS
POLYCAB,Polycab India Ltd.,Capital Goods,POLYCAB.NS
POONAWALLA,Poonawalla Fincorp Ltd.,Financial Services,POONAWALLA.NS
PFC,Power Finance Corporation Ltd.,Financial Services,PFC.NS
POWERGRID,Power Grid Corporation of India Ltd.,Power,POWERGRID.NS
PRAJIND,Praj Industries Ltd.,Capital Goods,PRAJIND.NS
PREMIERENE,Premier Energies Ltd.,Capital Goods,PREMIERENE.NS
PRESTIGE,Prestige Estates Projects Ltd.,Realty,PRESTIGE.NS
